Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Sentiment,Sentiment_Label,review_length
538578,B000SDIO3E,A1AOJWSJPONPX7,"Maric,Maric",0.0,0.0,5.0,1292457600.0,Love it,Lavazza has some of the smoothest expresso beans that I know. Not as harsh as Star Bucks expresso and makes a great Cappocino,positive,1,23
280809,B0017I1QAW,A1RT5A6U67HGYA,bipolypesca,6.0,6.0,5.0,1311724800.0,Perfect.,"Boy, does it make me sad to see so many people leaving comments about shipping problems as ""reviews,"" rating the product down because of the service received.  This salsa has only a 4 star average rating, strictly because of people who don't understand what a product review is, and it's unfair both to the manufacturer of the product (in this case a relatively small, family-owned operation in Texas called Riba Foods), nor shoppers who are trying to find a good product based on this review system.  How I wish Amazon would offer a ""this is not a review"" button as opposed to just ""helpful,"" ""not helpful,"" and ""abuse.""  (We can all click ""not helpful,"" but that doesn't counter the inaccurate product rating; and it's not ""abuse,"" just ignorance.)<br /><br />Here--before I get rightfully accused of hypocrisy--is my REVIEW of this SALSA: It's fantastic.  There are very, very few salsas sold in run-of-the-mill grocery stores marketed as ""hot"" that are actually HOT.  I have had ""hot"" salsas that list no type of hot chilies in the ingredients, and show it.  I have had ""hot"" salsas that were as tepid as canned tomatoes.  I have had ""hot"" salsas that, while tasty, just barely break the medium barrier.  This is not one of those.  It is actually spicy, how-about-some-milk, oh-dear-is-that-stomach-acid-in-my-throat-lining, this-can't-be-good-for-my-ulcer HOT!  I love it!<br /><br />An aside: The only other relatively widely available hot salsa that I can think of is Mrs. Renfro's Mango Habanero.  I love that one, too, but it suffers from the unfortunate problem of being too thin.  Watery thin.  With very few chunks.  The taste is fantastic, but the texture is monumentally disappointing.<br /><br />Well, not so with this one: The texture is perfect--it's thick and it clings to the chip.  You can see all the little flecks of roasted chili skin in there, and all the seeds, too.<br /><br />The one thing that threw me about this salsa--and made me bypass it several times before finally trying it--is that the ingredients list contains carrots.  ...CARROTS?  That's just weird.<br /><br />What's even weirder is that there is no hint of them in the salsa.  No carrot flavour, no carrot texture, and I can't find a chunk of carrot in that jar to save my life.  I suspect they might be pureed for thickening--maybe that's what makes the salsa thicker and more clingy than you usually get with a traditional Mexican roasted salsa like this one.<br /><br />You can taste the roasted pepper flavour, you can really feel the heat, the tomatoes are stellar, and it's not too salty (the tortilla chip provides enough of that!).  The burn lasts, too.  I find myself sucking air over my tongue for several minutes after I've stopped indulging.<br /><br />If you like truly spicy salsa without having to track down a specialty chilihead shoppe, and you know the deliciousness of roasted peppers (heck, roasted anything!), then give it a try.  I can't imagine you would regret it.<br /><br />Oh, and when you do try it and find you love it: Do everyone a favour and leave a review on the product about the PRODUCT.  If you think it's a five star salsa with 2 star shipping... the proper rating is FIVE STARS.  Not four, not three, but five.  Save your shipping complaints for the SHIPPER.  It's only fair.",positive,1,556
363834,B001M08YZA,A2XFDJI4EXPV3Q,Ellenj,0.0,0.0,3.0,1347840000.0,"If it's not broken, don't fix it!","Kellogg's Special K Cereal, Protein Plus, was the perfect cereal before they made some ingredient changes.  They state now on the box ""Now tastes even better!""  WRONG!!!  It was perfect before with less sugar in the ingredients.  This product has lost its distinctive flavor and healthy ingredients by adding 7 grams of sugar to it.  I want the ""old"" better version please.  So disappointed in this new box of cereal.  As soon as I can find a good protein cereal that tastes more NATURAL, I WILL CHANGE.",neutral,0,87
330358,B005ATVY88,AC5UIM0EA1BNZ,PalFam,4.0,4.0,4.0,1322611200.0,Good results but contains soy,"I received Hill's Science Diet Ideal Balance Dog Food to try as a BzzAgent.  I'm feeding this to my terrier as he tends to show the results to changes in his diet quicker than my Corgi or Belgian Sheepdog.  I've been a dog mom for more than 20 years, including participating in dog sports such as sled dog running, agility and dog shows.  Proper nutrition is vital to dogs' health and ability to participate in things they love to do.  While I currently don't do these activities with my dogs, I still am very picky about what they eat.<br /><br />When I received my BzzKit, a 4lb bag of Hill's Science Diet, Ideal Balance Dog Food, I checked the ingredients.  The first listed is chicken (good!) followed by brown rice and whole grain wheat (not as good as a meat ingredient, but better than it being corn).  Next is cracked pearl barley, soybean meal and chicken meal.  I have to admit I paused at the soybean meal.  In my experience, soy has not been a positive addition to dog food.  I find that foods that contain it result in looser stools of greater volume, and the dog's overall condition is not as high as one fed a food without soy.  It's an inexpensive ingredient that is associated with ""filler"" in the dog community.  I was curious to see how my terrier would handle and fare on this food. 3 stars for only one meat ingredient in the first 5 ingredients, and for the inclusion of soy.<br /><br />Rex, my terrier, became immediately interested when I opened the bag.  He was VERY anxious to see what was in there, so the smell must have been very enticing.  He's not a picky eater, so I anticipated he'd like the Ideal Balance, but didn't anticipate how eager he was to get it!  I slowly, over the course of days, switched him to Ideal Balance from his previous food (to reduce stomach upset from a diet change), and found he ate the Ideal Balance nuggets first before cleaning his bowl.  It may be because it was new and novel, but it may have been because he liked it better.  He's a dog...he couldn't tell me.  He seems to like it so much that I can even use Ideal Balance as a training treat.  5 Stars for taste.<br /><br />Rex has been eating Ideal Balance for a couple of weeks now.  It's not long enough for a complete picture of its impact on his condition, but long enough to get an idea of how it's going for him.<br /><br />His coat is very nice.  It was nice before, and I haven't seen any change in the coat condition.  The Ideal Balance diet is at least maintaining his coat in good condition.  We need more time to see the food's long term impact in Rex's coat.  4 stars for coat maintenance.<br /><br />Rex has a tendency to gain weight.  We really have to watch how much he eats.  And Ideal Balance helps him pack it on!  This means I can feed him less, which means I'm buying less food in the long run.  But I really have to watch his weight.  And it means that he is getting a lot out of the food.  The crude protein is 21.5% and crude fat is 12.5%.  The protein is not high, but the fat content is maybe a little higher than I'd seek for him.  I might choose a weight control version of Ideal Balance if this becomes his regular diet (and if one exists).  5 stars for body weight maintenance.<br /><br />Now the down and dirty part of the review...stools.  A dog's stool can tell you a lot about how he is tolerating his diet.  Rex's stools on Ideal Balance are firm, maybe a little larger than they were on his previous food, and do not smell any more objectionable than normal.  This tells me he is digesting the food normally, as well as close to optimally.  They could be a little smaller, but not so much that if I wasn't looking for a change that I'd have necessarily noticed it.  5 stars for stool quality.<br /><br />Overall, I give Hill's Science Diet Ideal Balance Dog Food 4 stars.  If there were a 2nd meat source and/or soy wasn't present, I could in good faith give it 5 stars, based on Rex's condition on the diet.  If you do try it, be sure to monitor your dog's weight, and adjust how much you feed accordingly.",positive,1,758
63985,B004IXYLJ6,A1XIHSYCXMQCSI,"R. Robin ""Thanks 2 God!""",0.0,0.0,5.0,1344902400.0,Exceptional Chocolate for a Chocolate Lover,"I initally ordered this product from my niece for a school sale. The first time the nanny used the brownie mix, they were yummy, yummy, yummy! Subsequently, my brother also made some brownies, but his were too thick and were actually too chocolately for me, not sure of what he did wrong or different. So fastforward a few months and when we returned from vacation, the nanny had made  white and black cupcake brownies, one of the recipes on the box. Now these things were scrumptious!!! I could not get enough. So that I would not eat them, I brought them to work to share with my co-workers. They too were hooked!!!! Now everytime we have an event for which we all must bring something, I always have to bring the black and white cupcake brownies!!! The brownies alone were good but that black and white cupcake brownies are to die for!!! I was thrilled to find them on Amazon and to have them ship them to me at my APO box.",positive,1,172
124384,B005ZBZM52,A3BI4362EPTGBD,V. Salomon,1.0,1.0,5.0,1327968000.0,Hands Down The Best Bold K-Cup of Coffee!,"I stumbled across these on Amazon, and since I was looking for a cheaper alternative to the usual 50 cent K-Cup, I figured I would give these a try - Am I glad I did!!<br /><br />For me at least, one of the issues with the Keurig K-Cup is that most make a cup of coffee that is too weak, especially if you want a larger cup.  This Fog Lifter brand does not.  The flavor is perfect, no bitterness and the strength is even good at the highest setting on my Keurig (travel mug size).  I only add a little heavy whipping cream to my coffee and it is the best (if you have never tried ""heavy whipping cream"", give it a shot), you don't know what your are missing, yes, it has fat, but no carbs, no sugars.<br /><br />Anyway I knew these were not traditional K-Cup, but who cares, in fact, I think this design is far superior.  The filter material is a bit thicker than the normal K-Cup paper filter, so the fact that the coffee does not drip through a single hole, does not matter, the flavor is still great.  The only thing that would make these better would be if they came in resealable bags, but then the price would go up.  I either just cut the corner off of the bag, then seal it with a plastic chip clip, or lately I have been buying Davidsons Tea.  The tea comes in a large foil-paper resealable bag. When my tea ran out, I started dropping my Fog Lifter cups in these bags, works great.  Both type of bags (the tea ones and the original ones that these K-Cups come in), have a small one way valve to get all the air out.  Super find, super buy",positive,1,301
36353,B001LQRKC8,A1LKBZ7U9DSF4K,T. Mulvaney,1.0,1.0,5.0,1321228800.0,Simply the best,"I make pancakes or waffles every Saturday morning with my kids, and there simply is no comparison between this product and any other baking powder I have come across. Even the more expensive brands from Trader Joe's or Whole Foods pale in comparison. Batter comes out light and fluffy every time, and my kids love them. I have also been known to eat a pancake or two. Get the pack of 6 and store up.",positive,1,75
547782,B006HYLW32,A2ZBG7MOR367X6,Becky,0.0,1.0,1.0,1331164800.0,not tasty,"Low calorie, its true. Try other flavors not Salt & Vinegar.  Wish I could return them, but we ate 2.  Or at least tried to, yuck!",negative,-1,26
271962,B001QEEZX2,A3GDVC9K9KCO6T,John Beckwith,2.0,2.0,5.0,1308960000.0,Doggie delight,"I have 2 boxers and mix a 1/2 a can along with their dry food for each...  They just love it!  I tried using one can each but it's too high in protein and they get the runs, so be sure to experiment with the right mix...",positive,1,47
61459,B001EO5R04,A3PL6PA3U51TA7,"cwe ""Christine""",0.0,0.0,5.0,1195603200.0,yum,"This tea has a delicious flavor, fresh and light. I love it, and this is a great price. For regular tea drinkers it is a great deal on Amazon's auto-order feature.",positive,1,31
